"ID","Created Date","Updated Date","Owner","key","To","CC","BCC","Subject","Body","Body As Simple Text"
"a632b344-1c36-4a19-8239-ac292e73b41d",2023-08-26T22:57:06Z,2025-04-28T17:16:06Z,"03839c70-7508-4e6d-b906-4df699fc5aa1","quoteContractSent","doron@realtechee.com;accounting@realtechee.com;demo@realtechee.com",,,"[RealTechee][Quote] Contract sent ! - {{address}}","<p>Hi,</p>
<p>
       Contract sent for following address!<br/>
               &nbsp;&nbsp;&nbsp;{{address}}<br/>
       <br/>
       Total Price: {{totalPrice}}<br/>
       Total Cost: {{totalCost}}<br/>
       <br/>
       <a href=""{{link}}"">(click here to open quote)</a>.<br/>
       <br/>
       Waiting for signatures in the following order:<br/>
            &nbsp;&nbsp;&nbsp;1. homeowner(s) signature<br/>
            &nbsp;&nbsp;&nbsp;2. GC singature<br/>
            &nbsp;&nbsp;&nbsp;3. Realtechee final signature to execute contract<br/>
        <br/>       
       Once all signed, a copy of the signed contract will be emailed to all.<br/>
       <br/>
       The RealTechee Team.<br/>
</p>",
"b146ab6f-d30e-4bc7-94b5-bc794b531e15",2023-01-30T05:28:06Z,2025-04-28T17:16:59Z,"03839c70-7508-4e6d-b906-4df699fc5aa1","quoteOpened","doron@realtechee.com;demo@realtechee.com",,,"[RealTechee][Quote] Quote opened ! - {{address}}","<p>Hi,</p>
<p>
       Following quote for {{address}} has been opened by {{loginEmail}}: <a href=""{{link}}"">(click here)</a>.<br/>
       <br/>
       Waiting for signature...<br/>
       <br/>
       The RealTechee Team.<br/>
</p>
<br/>",
"b393303c-5b82-49e9-83a9-7703983c67d2",2023-02-11T23:02:21Z,2025-04-28T17:16:33Z,"03839c70-7508-4e6d-b906-4df699fc5aa1","quoteSend","doron@realtechee.com;demo@realtechee.com","doron@realtechee.com",,"[RealTechee][Quote] New Quote !","<p>Hi {{fullName}},</p>

<p>Thank you for asking us to quote on your project at: {{address}}.</p>

<p>The quote total is {{totalPrice}} as of {{createdDate}}, and is subject to RealTechee's internal underwriting.</p>

<p>Click the following link to see quote details and eSignature: <a href=""{{esing_url}}"">quote details</a>.</p>

<p>By signing, you agree to the scope of work and pricing. Once approved, we will generate and send the contract via DocuSign.</p>

<p>This quote is valid for the next 30 days, after which values may be subject to change.</p>

<p>If you have any questions or concerns regarding this quote, please don’t hesitate to get in touch with us at <a href=""mailto:office@realtechee.com"">office@realtechee.com</a>.</p>

<p>Sincerely,</p>
<p>The RealTechee Team</p>",
"c4ebff8c-46c2-44dd-9d74-b5fda47475ec",2022-04-10T19:40:36Z,2024-02-04T22:35:08Z,"29cccdd2-340f-41f4-a9e9-2db0c53b3114","PropertyInformation","doron@realtechee.com",,,"[RealTecheeX][PropertyInformation] New Property Information submitted","{{item}}",true
"d8e1f475-a9be-4877-9405-0195e4f69260",2023-03-05T17:43:35Z,2025-04-28T17:16:22Z,"03839c70-7508-4e6d-b906-4df699fc5aa1","quoteUnderwriting","doron@realtechee.com;demo@realtechee.com",,,"[RealTechee][Quote] Required information for underwriting - {{address}}","<p>Hi {{names}},</p>
<p>In order to complete the internal underwriting and approval process for {{address}}, please provide the following information:</br>
</br>
<ul>
      <li>Selling Price</li>
      <li>Loan Balance</li>
      <li>Credit Report (if available) / credit score</li>
      <li>Legal ownership of property (title)</li>
</ul>
</p>
<p>Thank you,</p>
</br>
<p>The Realtechee Team.</p>",
"daab207f-9e88-476d-9af5-6b88de1e399d",2022-04-10T19:44:12Z,2025-04-28T17:17:28Z,"29cccdd2-340f-41f4-a9e9-2db0c53b3114","Affiliate","accounting@realtechee.com;demo@realtechee.com","doron@realtechee.com",,"[RealTecheeX][Affiliate] New Affiliate qualification form submitted","<p>New affiliate qualification application:</p>
<p>
		{{name}}<br/>
		Company: {{company}}<br/>
		Service Type: {{serviceType}}<br/>
		email: {{email}}<br/>
		phone: {{phone}}<br/>
		Address: {{address}}<br/>
</p>",false
"ee54660a-8a38-4fe0-97bf-bb457aebca04",2022-03-17T03:17:15Z,2025-04-28T17:17:39Z,"29cccdd2-340f-41f4-a9e9-2db0c53b3114","getAnEstimate","doron@realtechee.com;demo@realtechee.com",,,"[RealTecheeX][Estimate] New request for estimate - {{address}}","<p>New request for estimate from:</p>
    <p>
       Address: {{address}}<br/>
       <br/>
       Agent: {{agentName}}<br/>
       Agent Phone: {{agentPhone}}<br/>
       Agent Email: {{agentEmail}}<br/>
       <br/>
       Owner: {{first}} {{last}}<br/>
       Owner Phone: {{phone}}<br/>
       OwnerEmail: {{email}}<br/>
       <br/>
       Relation: {{relation}}<br/>
       Lead Source: {{lead}}<br/>
       Need Finance: {{finance}}<br/>
       Preferred Realtech Digital: {{digital}}<br/>
       Requested date: {{requestedDate}}<br/>
       Requested time: {{requestedTime}}<br/>
       <br/>
       Message: {{note}}
       <br/>
       <br/>
       <strong><a href=""https://www.realtechee.com/request-a?id={{url}}"">Link to request</a></strong>
       <br/>
       <br/>
</p>
<br/>",
"ef57bc32-a7bb-418d-a3d9-ea013fd9a86d",2022-04-10T20:12:10Z,2025-04-28T17:17:20Z,"29cccdd2-340f-41f4-a9e9-2db0c53b3114","comment","accounting@realtechee.com;demo@realtechee.com","doron@realtechee.com",,"[RealTecheeX][Comment] New comment","<p>Posted by: <b>{{postedBy}}</b></p>
<p><b>{{title}}</b></p>
<p>{{comment}}</p>
<br/>
<br/>
<p>{{attachmentsMsg}}</p>
<br/>
<p><a href=""{{url}}"">Click here to go to the project portal.</a></p>",
"f46ea90e-6799-4c33-858f-b5feeeb31741",2022-05-05T05:08:23Z,2025-04-28T17:17:11Z,"29cccdd2-340f-41f4-a9e9-2db0c53b3114","bookingRequest","doron@realtechee.com;demo@realtechee.com",,,"[RealTecheeX][Booking] New booking request","<p>New booking request to Get Qualified from:</p>
<p>
   Full Name: {{name}}<br/>
   Email: {{email}}<br/>
   Phone: {{phone}}<br/>
   Brokerage: {{brokerage}}<br/>
   Preferred Location: {{location}}<br/>
   Requested Date/Time: {{datetime}}<br/>
   <br/>
   Please review and approve / dismiss on <a href=""https://www.realtechee.com/bookings"">Booking Admin</a>.
</p>
<br/>",
"fca51c58-0184-4f31-8c91-be7b2e5706bf",2023-05-07T22:51:07Z,2025-04-28T17:16:14Z,"03839c70-7508-4e6d-b906-4df699fc5aa1","quoteAccounting","accounting@realtechee.com","doron@realtechee.com;demo@realtechee.com",,"[RealTechee][Quote] Please add Accounting information for new signed contract - {{address}}","<p>Hi Gaby,</p>
<p>Please process new signed project, address: {{address}}.<br/>
Let Meir know if you have any questions.</p>
</br>
<p>{{documentPublicLinksAsHtml}}</p>
</br>
<p>Thank you,</p>
</br>
<p>The RealTechee team</p>",
"fd9ca1ec-7464-472e-b04f-5d3abe2083f5",2024-01-21T19:47:21Z,2025-04-28T17:15:45Z,"03839c70-7508-4e6d-b906-4df699fc5aa1","getEstimateRequestAcknowledgment",,"doron@realtechee.com;demo@realtechee.com",,"Estimate Request Acknowledgment - {{address}}","<style>
    .email-container {
        font-family: Arial, sans-serif;
        color: #333333;
        line-height: 1.6;
    }
    .email-content {
        margin: 0 auto;
        width: 80%;
    }
</style>
<div class=""email-container"">
    <div class=""email-content"">
        <p>Hello {{agentName}},</p>
        <p>Thank you for reaching out to us and asking us to bid on your project at {{address}}. We are excited about the possibility of working with you.</p>
        <p>An account executive will reach out shortly to schedule a walkthrough, either on-site or virtual, at your convenience.</p>
        <p>To make our call more effective and help us better prepare, we kindly request your assistance in answering the following questions:</p>
        <ul>
            <li>What is the “as is” price comps show the property could list at?</li>
            <li>What is the “after repair/staged” price comps show the property could list at?</li>
            <li>What is the target price the homeowner wants to list at?</li>
            <li>What is the target price the homeowner wants to pay for repair/staging?</li>
            <li>How much is owed on the property?</li>
            <li>What is the owners credit score? (We don’t pull this, we need in writing)</li>
            <li>When does the homeowner want to sell the property?</li>
            <li>Please provide us with a clean title.</li>
        </ul>
        <p>Additionally, please use <a href=""{{projectFolder}}"">this link</a> to access a private folder where you can upload any pictures, videos, or documents that can assist us in scoping the project. You can upload media using mobile devices or a desktop computer.</p>
    </div>
    <div class=""email-content"">
        <p><strong>Summary of the request:</strong>
        <ul>
            <li>Address: {{address}}</li>
            <li>Agent: {{agentName}}</li>
            <li>Agent Phone: {{agentPhone}}</li>
            <li>Agent Email: {{agentEmail}}</li>
            <li>Owner: {{first}} {{last}}</li>
            <li>Owner Phone: {{phone}}</li>
            <li>OwnerEmail: {{email}}</li>
            <li>Relation: {{relation}}</li>
            <li>Brokerage: {{lead}}</li>
            <li>Need Finance: {{finance}}</li>
            <li>Preferred Realtech Digital: {{digital}}</li>
            <li>Notes: {{note}}</li>
        </ul>
    </div>
    <div class=""email-content"">
        <p>If you have any questions or concerns regarding this quote, please don’t hesitate to get in touch with us at <a href=""mailto:office@realtechee.com"">office@realtechee.com</a>.</p>
        <p>Sincerely,<br>
        The RealTechee Team</p>
        <img src=""https://static.wixstatic.com/media/29cccd_87524c06cec64892a32f1dbb3aaef05e~mv2.png"" alt=""RealTechee Logo"" style=""width: 200px;"">
        <p>&copy; 2024 RealTechee. All rights reserved.</p>
    </div>
</div>",
