"ID","projectID","Type","PaymentName","Payment Amount","paymentDue","Description","Order","Paid","Parent Payment ID","Is Category","Internal","Created Date","Updated Date","Owner"
"0e9a7252-8ec5-cc6a-4961-e57aeb564ac5","57","toGC",,13982.8,"7/17/2023","upon completion per contract",2,true,,false,false,2023-10-27T14:32:51Z,2023-10-27T14:32:51Z,"34ac6ca6-b333-4ba9-a486-33c8fc41ce6f"
"113dfea4-5b94-d92a-efdd-63063410b5c7","61","toGC","Start of work",10000,,,4,true,,false,false,2023-10-26T02:54:05Z,2023-11-20T06:25:47Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"11a83a21-2f5b-7c06-1c05-fd759505bb3e","59","toGC","New Surface Look",1500,"09/01/2023","Additional work (per Ram)",4,true,,false,false,2023-10-26T06:56:03Z,2023-11-20T06:31:56Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"11c314bb-d99d-f8a4-b84e-719ed0f97937","67","byClient","Staging - end of escrow",3900,"02/29/2024","Service to be complete on 12/15/2023. Payment is due at end of escrow or 90 days after service complete: 3/14/2024 (which ever comes first)",1,true,,false,false,2023-10-07T02:58:01Z,2024-03-14T16:41:47Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"129048d9-377d-6738-af6f-20e82ef4af46","56","toGC","New Look Surface",15000,,"Complete Vanity installation + plumbing fixtures",17,false,,false,false,2023-10-17T15:41:01Z,2023-12-15T04:54:51Z,"50dc93e3-0c5b-4b4f-8acc-ca2ec2619c82"
"1315b6e0-3336-ecb0-af03-f8331ca403b7","49","toGC","New Surface Look",18700,"3/27/2023","remodeling per contract, incl. adjustment per Meir -$718.00 credit",2,true,,false,false,2023-10-27T14:47:24Z,2023-10-27T14:47:34Z,"34ac6ca6-b333-4ba9-a486-33c8fc41ce6f"
"13eafa19-255d-4551-a871-260700c28137","16","byClient","Grand Total",31550,,,1,,,false,,2022-08-31T22:13:51Z,2023-09-13T05:19:51Z,"25002954-d890-4b6f-9100-53afc320aff6"
"157ff0e6-85fa-465b-a053-dea5573e610d","2","byClient","Complete demo& haul away ofKitchen, drywall cubes, drywall railing, 2 exterior doors",10000,,,2,true,,,,2022-12-09T00:03:26Z,2023-09-13T05:20:48Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"15fbe6ce-6839-386c-c488-f04daacd7b93","9","byClient","50% at sign of contract",8605.8,,,3,false,,false,false,2023-07-12T05:45:03Z,2023-10-29T20:20:23Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"17f45021-3fc2-57b4-f2fc-de7541e40816","9","byClient","50% at sign of contract",4350,,,5,false,,false,false,2023-07-09T05:48:52Z,2023-10-29T20:20:23Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"18750c13-107b-0535-fa86-feca1130f5dd","70","byClient","Start of work",6210,"11/1/23",,1,true,,false,false,2023-11-01T18:19:19Z,2023-11-20T20:04:04Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"18f65e73-23f5-42e4-a55a-05bf111536a7","2","byClient","Upon approval of kitchen design",20000,,,3,true,,,,2022-12-09T00:03:27Z,2023-09-13T05:20:48Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"1a24bd34-1504-4b11-87f5-58a19b628568","45","byClient","Grand Total",29000,,"upon close of escrow",1,true,,false,false,2022-11-02T03:45:28Z,2023-10-27T15:24:20Z,"34ac6ca6-b333-4ba9-a486-33c8fc41ce6f"
"1a36a03f-d908-aca9-bd03-df58e06d076c","63","toGC","New Surface Look",4000,"08/23/2-23","Completion of electrical work - milestone 2",5,true,,false,false,2023-10-26T07:02:18Z,2023-11-20T06:24:59Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"1b3cc1ea-b001-4f3b-960e-a858385b5552","2","byClient","Grand Total",74360,,,1,,,false,,2022-08-31T22:44:50Z,2023-09-13T05:20:48Z,"25002954-d890-4b6f-9100-53afc320aff6"
"1c4a23a6-db3e-18a2-b193-e828f6668316","17","byClient","Roof demolition, Install new plywood, install new fascia boards",22000,,,5,true,,false,false,2023-01-17T15:05:25Z,2024-03-14T16:43:27Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"1c950d51-d0ae-cdc3-08b3-719d2d03b684","9","byClient","End of escrow",25245,,,4,false,,false,false,2023-03-22T04:55:27Z,2023-10-29T20:20:23Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"1d3a3dad-4e84-4163-37ec-00eaabdd29e1","91","toGC","Complete demo, electric work ,rough plumbing",7000,,,7,false,,false,false,2023-10-30T03:49:43Z,2023-10-30T03:53:42Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"1d906ec1-bf5a-9749-7348-f7ede019a7e6","cef5faf1-8989-e831-8598-8bf70293588b","toGC","Complete demo, electric work ,rough plumbing",7000,,,7,false,,false,false,2023-10-26T05:17:32Z,2023-11-01T03:21:37Z,"50dc93e3-0c5b-4b4f-8acc-ca2ec2619c82"
"1d90fb18-0284-ab23-6208-aa7ba801d1a9","56","toGC","New Look Surface",20000,,"Complete stone installation in shower walls and kitchen 9/13/23",23,true,,false,false,2023-10-17T15:20:37Z,2023-12-15T04:54:51Z,"50dc93e3-0c5b-4b4f-8acc-ca2ec2619c82"
"1f064353-6d8a-7a12-0c55-cac6eac83134","69","byClient","City Permit fee",421.72,"11/22/23","see quote 1224 - CO# 2",6,true,,false,false,2023-11-23T20:11:41Z,2024-03-25T15:37:18Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"1f088907-2a79-4a9a-92eb-6b8ea62bfc4d","2","byClient","CHANGE ORDER 11-22-2022 - Quote #1058",1000,,,6,true,,false,false,2022-12-09T00:19:44Z,2023-09-13T05:20:48Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"1fb52f39-d537-de95-58f4-e7cb8f8738e1","29311c54-39e6-a10f-5772-3c65b8d0b2c3","toGC","Referral from NLS",'-2180,,,2,false,,false,false,2024-03-29T21:19:18Z,2025-04-28T17:37:13Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"1fd90ba2-a540-334d-196e-1aff19985368","50","byClient","close of escrow",24672,"7/12/2023","upon completion",1,true,,false,false,2023-10-27T14:58:43Z,2023-10-27T14:58:43Z,"34ac6ca6-b333-4ba9-a486-33c8fc41ce6f"
"1fe05917-8d02-3ed8-32b6-092f611721a8","69","toGC","CO #3",3500,,"see Quote #1235 - CO #3",17,true,,false,false,2024-03-14T16:53:31Z,2024-03-25T15:37:18Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"21352258-3f16-145d-dd48-201bcf81b050","71","toGC","Completion of work - NLS",1500,"12/15/2023",,2,true,,false,false,2023-11-15T04:24:15Z,2024-03-14T16:40:08Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"22241c53-a27c-27e8-8fc1-201aae89993d","31e8b792-4e81-89b2-9db1-a4454953e860","byClient","Complete installation of kitchen cabinets and bathroom vanities",15000,,,4,false,,false,false,2023-09-27T05:19:12Z,2023-10-12T22:23:12Z,"50dc93e3-0c5b-4b4f-8acc-ca2ec2619c82"
"22c1a300-8b90-a122-7b6a-e0799d130377","69","byClient","CO #3 GC Discount for recess light and fast payment",3000,"3/22/2024","see Quote #1235 - CO #3
customer reimbursement due to failed installation of one light -$500.00 by GC",7,true,,false,false,2024-03-14T16:53:31Z,2024-03-25T15:37:18Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"240a83a2-1d8d-f798-4a4f-c280593c8447","cef5faf1-8989-e831-8598-8bf70293588b","toGC","Start of work",7000,,,6,false,,false,false,2023-10-26T05:17:32Z,2023-11-01T03:21:37Z,"50dc93e3-0c5b-4b4f-8acc-ca2ec2619c82"
"24a801c3-477e-135e-d9ac-c9a4d0a62e72","3b842c78-5d2a-27d7-3040-d2b381bfb403","byClient","Complete demolition, rough plumbing rough electric",8000,,,2,false,,false,false,2023-08-10T14:43:29Z,2023-08-10T23:00:14Z,"50dc93e3-0c5b-4b4f-8acc-ca2ec2619c82"
"257e8dfa-53a3-458a-b188-04b9f49ec7c0","72","byClient","Job start",8100,,,2,false,,false,false,2023-12-19T22:57:04Z,2024-03-14T16:39:13Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"25d1a597-9188-74d4-7f27-53080824a343","66611536-0182-450f-243a-d245afe54439","toGC","Payment # upon completion ",7000,,,4,false,,false,false,2023-10-14T02:10:53Z,2023-10-17T01:28:17Z,"50dc93e3-0c5b-4b4f-8acc-ca2ec2619c82"
"26bbd9ce-e2e3-ad07-1734-b1ad949ddde6","015963cf-5d29-56a7-49fe-8076b4dd3df2","byClient","City of Los Angeles Department of Building and Safety - CORRECTION NOTICE",930,,,1,false,,false,false,2023-12-05T21:25:56Z,2023-12-06T20:24:21Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"272d75be-4af6-355a-a382-b296cd3ef069","69","toGC","New Surface Look",7250,,"Complete installation of kitchen counter top and appliances 7,250.00",14,true,,false,false,2023-10-30T15:16:36Z,2024-03-25T15:37:18Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"276ae38e-4e33-8aa2-cb42-283a4bc3af8d","67","toGC","Sunshine Staging",1500,,"1st payment  - 50% down payment 10/7/23",2,true,,false,false,2023-10-16T19:01:18Z,2024-03-14T16:41:47Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"27d467d4-0a00-ec3e-ab69-3029b21148a8","69","toGC","GC refund",'-400,"3/21/2024",,16,true,,false,false,2023-12-06T20:24:49Z,2024-03-25T15:37:18Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"28518797-ed1f-935e-1825-5e8a4faa8b21","62","byClient","Change Order 1",1750,,"paid 9/9/23",6,true,,false,false,2023-09-18T03:38:02Z,2023-11-23T04:13:48Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"2a012a1f-7642-72dc-7c80-f4b11f1ec484","59","byClient","Close of escrow",4650,,"paid 10/6/23 at close of escrow",1,true,,false,false,2023-08-02T04:22:18Z,2023-11-20T06:31:56Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"2aac1e7d-596d-de9b-81a9-04903ea93055","68af2816-3a37-e5f9-e82d-c7a4703db360","byClient","Change order 1",1750,,,1,false,,false,false,2023-09-13T10:37:13Z,2023-09-18T03:39:52Z,"34ac6ca6-b333-4ba9-a486-33c8fc41ce6f"
"2aff4cf3-f7cd-e603-84c5-9f772bd2d833","3b842c78-5d2a-27d7-3040-d2b381bfb403","toGC","Start of work",6000,,,7,false,,false,false,2023-08-10T14:43:29Z,2023-08-10T23:00:14Z,"50dc93e3-0c5b-4b4f-8acc-ca2ec2619c82"
"2b763439-1c37-4b17-004e-62aff73bab4c","9","toGC","50% at sign of contract",5935,,,13,false,,false,false,2023-07-12T05:45:01Z,2023-10-29T20:20:23Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"2cca7457-84ad-061d-bb37-97e20973bc42","9","toGC","test GC 123",1111,,,17,false,,false,false,2023-10-03T01:22:35Z,2023-10-29T20:20:23Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"2d047185-6da0-c820-2c82-2c77810397ae","63","byClient","Completion of electric work",5000,"08/23/2023",,2,true,,false,false,2023-08-23T02:00:41Z,2023-11-20T06:24:59Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"2d6d6bab-9c9c-91e4-2193-94ef8d6ff71a","64","toGC","Start of work",6000,,"$6,000.00 Start of work 8/30/23
",9,true,,false,false,2023-10-16T19:35:35Z,2023-12-18T16:01:40Z,"34ac6ca6-b333-4ba9-a486-33c8fc41ce6f"
"2d9fd808-4919-f2a5-321e-625d62ed5f3e","8de6481e-a1bc-073a-3937-ff092887f328","byClient","Start of work",6210,,,1,false,,false,false,2023-10-29T18:26:36Z,2023-11-01T18:18:47Z,"50dc93e3-0c5b-4b4f-8acc-ca2ec2619c82"
"3045d0a7-9ca7-e357-dbc5-fb727cbf1859","54","byClient","50% upon completion",6680.9,"5/18/2023",,2,true,,false,false,2023-10-27T15:18:27Z,2023-10-27T15:18:27Z,"34ac6ca6-b333-4ba9-a486-33c8fc41ce6f"
"326c28c9-dc93-2caa-0858-f78639bc6453","70","toGC","Start of work",4140,"11/1/23",,5,true,,false,false,2023-11-01T18:19:19Z,2023-11-20T20:04:04Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"327636bd-0c86-442e-898b-7a9003be221d","8","byClient","Grand Total",36970.07,,,1,,,false,,2022-08-31T21:53:27Z,2023-09-13T05:20:48Z,"25002954-d890-4b6f-9100-53afc320aff6"
"332829f2-dfcb-7579-4c3e-ced690c06347","f415daf8-0819-e9b3-aaf6-6047bf2776a1","toGC","Upon completion",2080,,,6,false,,false,false,2023-08-10T01:32:02Z,2023-08-10T23:02:27Z,"50dc93e3-0c5b-4b4f-8acc-ca2ec2619c82"
"34322d6f-ce13-1c3a-ee86-067b86c4467e","62","byClient","Complete demolition, rough plumbing rough electric",8000,,"paid 9/12/23",2,true,,false,false,2023-09-02T02:00:37Z,2023-11-23T04:13:48Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"34987474-a75e-e556-75f7-a719d225a9f4","b4ee7cc0-b6d3-3f75-062a-ddc0443027ff","toGC","30 days Staging extension starting 12/14",750,"12/14",,2,false,,false,false,2023-12-12T16:44:26Z,2023-12-12T19:25:29Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"34b1b197-4774-56e9-c028-90131a579b2e","17","byClient","Finish demolition, framing, foundation -ADU",40000,,,3,true,,false,false,2023-01-17T15:05:25Z,2024-03-14T16:43:27Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"365c1ff5-3adb-6f1e-6230-9451c391fe62","9","byClient","50% upon scope of work complete",8605.8,,,7,false,,false,false,2023-07-12T05:45:01Z,2023-10-29T20:20:23Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"36f99c91-f6e0-ce74-4938-6651026ce9d1","56","byClient","Complete electric and low voltage",20000,,"paid 7/25/23",5,true,,false,false,2023-07-09T06:03:09Z,2023-12-15T04:54:51Z,"50dc93e3-0c5b-4b4f-8acc-ca2ec2619c82"
"3aac68a8-2c58-4079-81e5-eef51403a2c0","2","byClient","Upon complete framing of extended step in the living room",10000,,,4,true,,,,2022-12-09T00:03:29Z,2023-09-13T05:20:48Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"3af3db47-1f65-a0bf-4621-8e8e21dbb258","9","byClient","test1234",100,,,2,false,,false,false,2023-10-17T20:22:23Z,2023-10-29T20:20:23Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"3c85d204-1560-5bc6-4de2-3bebe74a2c35","cef5faf1-8989-e831-8598-8bf70293588b","byClient","Complete installation of kitchen counter top and appliances",9350,,,5,false,,false,false,2023-10-26T05:17:32Z,2023-11-01T03:21:37Z,"50dc93e3-0c5b-4b4f-8acc-ca2ec2619c82"
"3d3e9c43-82ee-178d-c78a-c0ea76dbad2f","be857b6b-64d6-f38c-cceb-a1d5f2a0c7c5","toGC","Staging deposit by 12/5/2023",6700,"12/5/2023",,3,false,,false,false,2023-11-30T21:52:58Z,2024-01-29T01:18:51Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"3d652497-4e0f-4ba7-0a51-e9a3f01bff96","3b842c78-5d2a-27d7-3040-d2b381bfb403","byClient","Start of work",8000,,,1,false,,false,false,2023-08-10T14:43:29Z,2023-08-10T23:00:13Z,"50dc93e3-0c5b-4b4f-8acc-ca2ec2619c82"
"3d90cdeb-1f63-3ee6-5aea-a34eb985e72c","56","toGC","New Look Surface",10000,,"Complete installation of interior doors and closet doors 9/22/23",22,true,,false,false,2023-10-17T15:23:11Z,2023-12-15T04:54:51Z,"50dc93e3-0c5b-4b4f-8acc-ca2ec2619c82"
"3f650796-9a58-0174-22b7-6c594140105d","91","byClient","Complete LVT floor installation and installation of vanities ",10000,,,4,false,,false,false,2023-10-30T03:49:43Z,2023-10-30T03:53:42Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"3fc726e4-10d1-6785-25b6-69034afb4938","f415daf8-0819-e9b3-aaf6-6047bf2776a1","byClient","Upon completion ",4616,,,3,false,,false,false,2023-08-10T01:26:45Z,2023-08-10T23:02:27Z,"50dc93e3-0c5b-4b4f-8acc-ca2ec2619c82"
"407257d8-e457-cf0c-09c6-cbd88cd7e37b","62","toGC","CO 2",2180,"11/15/2023",,16,true,,false,false,2023-11-01T15:25:47Z,2023-11-23T04:13:48Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"40747d94-d21d-4bb4-b105-06b8119887fa","64","toGC","Complete LVT floor installation and electric finishes",3500,,,13,true,,false,false,2023-10-27T20:44:24Z,2023-12-18T16:01:40Z,"34ac6ca6-b333-4ba9-a486-33c8fc41ce6f"
"4182f8b9-7044-292b-e8ec-ea57515f7ef2","3b842c78-5d2a-27d7-3040-d2b381bfb403","byClient","Complete drywall repairs and floating of bathroom and tub walls",8000,,,3,false,,false,false,2023-08-10T14:43:29Z,2023-08-10T23:00:14Z,"50dc93e3-0c5b-4b4f-8acc-ca2ec2619c82"
"44ee6353-f4b8-a8eb-8a57-121047e711cb","68","byClient","Payment # 1 - start of work",4000,,"paid 10/18/23",1,true,,false,false,2023-10-16T01:10:19Z,2023-11-20T19:58:42Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"462ba1c9-970e-1f24-dd69-b41856dffeab","8de6481e-a1bc-073a-3937-ff092887f328","byClient","Complete Demo and framing work",6210,,,2,false,,false,false,2023-10-29T18:26:38Z,2023-11-01T18:18:48Z,"50dc93e3-0c5b-4b4f-8acc-ca2ec2619c82"
"475f8a0a-5b1e-4d20-3aba-57b7f7bad322","64","byClient","Start of work",9000,,"paid 8/30/23",2,true,,false,false,2023-08-29T06:19:07Z,2023-12-18T16:01:40Z,"34ac6ca6-b333-4ba9-a486-33c8fc41ce6f"
"48087efb-71c3-8fac-1e86-c24156d83a1e","68","byClient","Payment # 3 - upon completion of flooring installation ",3850,,,3,true,,false,false,2023-10-16T01:10:19Z,2023-11-20T19:58:42Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"482106e6-ee15-1906-9be8-f1b5d45842a8","cef5faf1-8989-e831-8598-8bf70293588b","byClient","Complete tile installation in both bathrooms",10000,,,3,false,,false,false,2023-10-26T05:17:32Z,2023-11-01T03:21:37Z,"50dc93e3-0c5b-4b4f-8acc-ca2ec2619c82"
"48ae4592-36f1-d5e3-a82e-02439d858ac5","64","byClient","complete repiping (milestone #4)",9000,,"paid 9/21/23",4,true,,false,false,2023-09-21T16:27:01Z,2023-12-18T16:01:40Z,"34ac6ca6-b333-4ba9-a486-33c8fc41ce6f"
"49268cce-fddf-454a-e2c9-1c57795addb7","57","byClient","at close of escrow",20275,"8/14/2023","Project Payment Terms: 
Payment with close of escrow.",1,true,,false,false,2023-10-27T14:32:51Z,2023-10-27T14:32:51Z,"34ac6ca6-b333-4ba9-a486-33c8fc41ce6f"
"498c182a-2f39-0ca5-f4ab-2508865e956b","62","toGC","New Look Surface",6000,,"Complete tile installation in the bathroom 10/4/23",13,true,,false,false,2023-10-17T15:52:23Z,2023-11-23T04:13:48Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"4a9a804a-a5a8-9ce0-f07e-6e959dd67afe","68","toGC","New Look Surface",7000,"10/31/2023","Payment upon completion",4,true,,false,false,2023-10-16T19:31:49Z,2023-11-20T19:58:42Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"4b890cb3-ab80-031b-6691-8114b8f70590","65","toGC","Complete panel installation",3400,,,10,false,,false,false,2023-08-24T22:08:48Z,2023-08-29T21:18:39Z,"50dc93e3-0c5b-4b4f-8acc-ca2ec2619c82"
"4bc908fb-0a80-45ea-f6ca-010d7e7bfe05","48","toGC","New Surface Look",27202,"5/1/2023","$10,000.00  Start of work
$10,000.00   Progress payment
$7202.00     Upon completion",2,true,,false,false,2023-10-27T15:09:56Z,2023-10-27T15:10:12Z,"34ac6ca6-b333-4ba9-a486-33c8fc41ce6f"
"4c5d23a2-4a68-2cbf-9dc6-a5a0a29e44ae","56","toGC","New Look Surface",23330.7,,"Change order 8/31/23 per client, invoice 407 paid 9/5/23",28,true,,false,false,2023-10-17T15:13:18Z,2023-12-15T04:54:51Z,"50dc93e3-0c5b-4b4f-8acc-ca2ec2619c82"
"4ca5b7f8-0628-d6a8-164f-5a50f5627084","65","byClient","Sign of contract ",1000,,,1,false,,false,false,2023-08-24T21:35:59Z,2023-08-29T21:18:39Z,"50dc93e3-0c5b-4b4f-8acc-ca2ec2619c82"
"4fc47069-c808-41c5-571a-c54cfc427892","63","toGC","New Surface Look",4000,"08/14/2023","per contract - start of work",4,true,,false,false,2023-10-26T07:02:18Z,2023-11-20T06:24:59Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"51ee37f7-56f3-721e-bfe7-06412cddb20c","9","toGC","50% upon scope of work complete",3000,,,15,false,,false,false,2023-07-09T05:48:52Z,2023-10-29T20:20:23Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"520f2f6b-7bed-39af-408b-46c35664c062","70","toGC","Complete Drywall work and installation of windows",4140,,,7,true,,false,false,2023-11-01T18:19:19Z,2023-11-20T20:04:04Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"521b621f-7da1-dc08-5851-ce0a0f661ab2","be857b6b-64d6-f38c-cceb-a1d5f2a0c7c5","toGC","Staging complete by 2/5/2024",6700,"2/5/2024",,4,false,,false,false,2023-11-30T21:52:58Z,2024-01-29T01:18:51Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"531b8366-a19a-86fd-b860-f0f6aac24b14","62","byClient","Allowance adjustment",'-4538,,,9,false,,false,false,2023-11-02T19:17:57Z,2023-11-23T04:13:48Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"539c0c9d-77f0-4391-b62c-c59236e3cd8c","7","byClient","Progress Payment 3",10000,,,5,true,,false,,2022-01-11T05:34:19Z,2023-09-13T05:20:48Z,"29cccdd2-340f-41f4-a9e9-2db0c53b3114"
"556de837-a060-2eb3-26b6-c91f20c5c5de","69","byClient","Complete demo ,electric work ,rough plumbing  ",10000,,,2,true,,false,false,2023-10-30T15:13:27Z,2024-03-25T15:37:18Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"562a21c4-962b-b7a9-9466-eefb4a10a1d1","56","toGC","New Look Surface",20000,,"Complete kitchen carpentry 9/5/23",27,true,,false,false,2023-10-17T15:17:01Z,2023-12-15T04:54:51Z,"50dc93e3-0c5b-4b4f-8acc-ca2ec2619c82"
"56f3886f-1a00-4fe0-1d23-ac77991c4ca3","55","byClient","upon completion ",3994.2,"6/6/2023","C/O per NLS  due to change of work scope:
credit of $ 1,233.00 to original contract",2,true,,false,false,2023-07-09T20:56:14Z,2023-10-27T14:28:23Z,"34ac6ca6-b333-4ba9-a486-33c8fc41ce6f"
"574c8f38-4f92-b3fd-db51-ab2118b297a5","91","toGC","Complete installation of kitchen counter top and appliances",7250,,,10,false,,false,false,2023-10-30T03:49:43Z,2023-10-30T03:53:42Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"581a523c-2402-45ba-862d-1cd4408d84d0","13","byClient","Grand Total",84990,,,1,,,false,,2022-08-31T22:03:43Z,2023-09-13T05:20:48Z,"25002954-d890-4b6f-9100-53afc320aff6"
"588a9f8f-ed56-52a0-3265-9e397d286836","17","byClient","Completion of tile work",20000,,,8,true,,false,false,2023-02-13T23:33:53Z,2024-03-14T16:43:27Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"589c0dde-a4f5-473d-9c46-d74bd369042c","7","byClient","Progres Payment 2",20000,,,4,true,,false,,2022-01-11T05:34:19Z,2023-09-13T05:20:48Z,"29cccdd2-340f-41f4-a9e9-2db0c53b3114"
"59652c88-e393-1b31-fcee-b491a8e4a9c4","59","toGC","New Surface Look",1700,"8/7/2023","Exterior work:
Repair bricks in front of the house
Dry Rot wood repair on eaves in from of the house (next to the main entrance)
Patio cover repair both framing and dry rot wood repair
Dry Rot wood repair on three corners of the house second story eaves.
This is a local repair, excluding painting the entire patio cover, eaves and fascia.",2,true,,false,false,2023-10-26T06:56:03Z,2023-11-20T06:31:56Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"5c852fa4-0ef9-6b6e-ba03-3ed53584bf8a","8b7e6c6c-2464-e43f-1834-67aba281498f","byClient","On job start - permit fees (excluded from the quoted scope of work) to cover charges by the city",800,,,3,false,,false,false,2023-12-19T17:21:48Z,2023-12-19T22:56:12Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
